node_id,neighbors
430408,[66031, 560915, 862878, 728689, 442961, 654044, 689248, 741954, 244650, 728499, 130393, 745147, 543688, 681362, 526186, 322101, 439360, 37021, 860638, 521895, 243870, 558707, 414711, 72472, 705588, 65077, 692693, 979570, 963078, 413035]
940167,[708147, 106622, 275861, 197726, 809245, 770262, 22686, 907342, 414937, 969568, 377708, 342875, 501183, 196635, 281354, 342799, 776506, 371154, 348355, 290340, 667630, 560766, 52545, 917299, 252, 83873, 100295, 730294, 802586, 512538]
602081,[75122, 660922, 401838, 245283, 364299, 665875, 162151, 453279, 990621, 943196, 137438, 520914, 477360, 86600, 105886, 899530, 107320, 614992, 556870, 158507, 342591, 924948, 569584, 192084, 699263, 721850, 840151, 960222, 695809, 827155]
225302,[280211, 825694, 416529, 647697, 71468, 179073, 893403, 108978, 448318, 398392, 519060, 600662, 244743, 821364, 473277, 958417, 510667, 783297, 828306, 368139, 11700, 141915, 211390, 650354, 366418, 997701, 746953, 627759, 528475, 299726]
919309,[123361, 599095, 456807, 919208, 155921, 872580, 915478, 431149, 955287, 820442, 673895, 708726, 706822, 787436, 175915, 408254, 131048, 194881, 560207, 916610, 579271, 561144, 126505, 488290, 385288, 174994, 206672, 874437, 524629, 730759]
541527,[451013, 560410, 748073, 31198, 579763, 476797, 588838, 189468, 825921, 363708, 926512, 881631, 405830, 455566, 120759, 257423, 205088, 515990, 705710, 990630, 51145, 494930, 313780, 541567, 90374, 206331, 567565, 25074, 682318, 945116]
406087,[746953, 324080, 986597, 72593, 987069, 18654, 890338, 190032, 783297, 847257, 324993, 360698, 258213, 22171, 782902, 114279, 681493, 827019, 40537, 319190, 677, 131953, 589184, 682989, 691575, 96739, 528475, 650695, 431412, 602135]
788001,[518912, 508180, 296692, 348355, 250537, 917299, 245795, 106841, 434116, 252, 52545, 430415, 802586, 111751, 84965, 523245, 371154, 266519, 562104, 667630, 450175, 809245, 935376, 2366, 729344, 382641, 186884, 770262, 907342, 469020]
518800,[308917, 447938, 532121, 342591, 796826, 805432, 535617, 105886, 841329, 295110, 795361, 614992, 772716, 86600, 665875, 643432, 168763, 137438, 37576, 660922, 489639, 245283, 455566, 162151, 181655, 943196, 284421, 192084, 364299, 75122]
258213,[22171, 70857, 18654, 114279, 360698, 431412, 602135, 890338, 72593, 313931, 406087, 324080, 746953, 847257, 952687, 368139, 40537, 783297, 96739, 608166, 956604, 790071, 324993, 677, 244743, 650695, 117023, 986597, 589184, 190032]
652855,[562104, 106841, 523245, 296692, 626899, 308182, 935376, 450175, 122760, 508180, 434116, 430415, 348355, 433129, 432627, 705218, 355023, 252, 788001, 250537, 501183, 518912, 776506, 196635, 83873, 516209, 938239, 2366, 244536, 290340]
777064,[745190, 612658, 347374, 822753, 873705, 552589, 925585, 836673, 230640, 45179, 541606, 206331, 990630, 682318, 753374, 21570, 265797, 800143, 190450, 723257, 541567, 476797, 398941, 588838, 254571, 775929, 956855, 889664, 485879, 960400]
745147,[521895, 526186, 72472, 442986, 671065, 790831, 439360, 179700, 729657, 862878, 322101, 728499, 480990, 244650, 828168, 681362, 963078, 560915, 344657, 807343, 137054, 922348, 130393, 627657, 801421, 471251, 430408, 979570, 403495, 66031]
33476,[918026, 596032, 290590, 760460, 449758, 61176, 378112, 265242, 254483, 32874, 744734, 524629, 155921, 673895, 235484, 456807, 706822, 539451, 275441, 126505, 569639, 696690, 436006, 673342, 524836, 131048, 431149, 916610, 343540, 787436]
212742,[270272, 474713, 558491, 730562, 447523, 174090, 922786, 93087, 270397, 623581, 407785, 21752, 382769, 133375, 130263, 695809, 10010, 231788, 332056, 618163, 116022, 664041, 34618, 980613, 975380, 901682, 569584, 139822, 55126, 775929]
289755,[232154, 985459, 521341, 600851, 157947, 808206, 392240, 770432, 291942, 399799, 801262, 883857, 949834, 230028, 821270, 991583, 176260, 915354, 627759, 139832, 567963, 580477, 543220, 123601, 366418, 76658, 686454, 398392, 704724, 980728]
129743,[750695, 110410, 744261, 627443, 807288, 408301, 482092, 464644, 63339, 108074, 696690, 275441, 158420, 524836, 813921, 207901, 36311, 388540, 254483, 265242, 831983, 388521, 859473, 561250, 539451, 161929, 560207, 673342, 949560, 385288]
535617,[532121, 295110, 37576, 489639, 447938, 518800, 841329, 308917, 181655, 169550, 455566, 796826, 284421, 926512, 168763, 515990, 742723, 254571, 800143, 901745, 342591, 21570, 987818, 795361, 643432, 805432, 665875, 105886, 473400, 206331]
821364,[647697, 366418, 299726, 416529, 627759, 991583, 825694, 828306, 392240, 179073, 808206, 448318, 519060, 225302, 580477, 398392, 291942, 883857, 108978, 230028, 176260, 71468, 49848, 280211, 510667, 770432, 949834, 473277, 567963, 997701]
355023,[938239, 866306, 260109, 430415, 2366, 450175, 327860, 359221, 244536, 662244, 252, 695200, 617550, 975857, 493159, 949606, 436427, 629584, 290340, 905138, 159170, 686824, 151630, 960739, 562104, 710548, 61937, 775776, 854898, 371154]
960400,[826848, 485879, 6966, 753374, 956855, 313780, 881631, 682318, 51145, 680239, 825921, 230640, 989681, 730942, 90374, 25074, 588838, 120759, 476797, 363708, 642261, 580056, 612658, 748073, 674695, 873705, 723257, 43402, 560410, 31198]
647697,[448318, 398392, 825694, 225302, 416529, 821364, 510667, 108978, 71468, 883857, 280211, 176260, 991583, 392240, 366418, 519060, 627759, 567963, 299726, 179073, 770432, 828306, 51332, 808206, 681493, 230028, 893403, 291942, 980728, 580477]
974218,[945251, 866099, 822012, 100764, 34357, 696225, 748451, 729240, 376357, 753745, 436006, 668850, 816607, 12686, 653812, 422312, 354831, 388540, 343540, 362777, 151323, 705025, 948089, 464644, 309127, 714930, 788836, 126505, 916610, 829141]
699263,[484121, 827155, 901745, 192084, 376722, 664041, 10010, 473400, 742723, 181655, 520914, 980613, 924948, 284421, 556870, 21752, 162151, 990621, 945116, 665875, 987818, 567565, 116022, 660922, 695809, 148935, 245283, 899530, 254571, 569584]
378606,[363358, 63967, 197948, 49887, 592998, 11986, 812620, 55467, 942155, 364429, 787272, 450701, 380961, 644546, 609098, 223270, 962221, 761871, 754089, 852112, 892138, 905002, 764452, 942513, 684189, 492125, 902903, 63566, 525900, 400477]
606815,[183024, 235484, 539451, 883820, 711678, 752913, 158420, 324522, 524836, 673342, 480875, 378112, 536070, 160913, 108074, 681198, 36311, 615696, 254483, 144405, 3149, 67628, 570556, 280699, 375966, 265242, 607472, 427461, 561250, 275441]
901682,[130263, 1449, 133375, 231788, 840151, 332056, 270397, 407785, 720894, 139822, 502444, 34618, 952092, 174090, 755320, 924948, 975380, 749862, 474713, 55126, 428407, 569584, 623581, 721850, 352046, 556870, 289846, 477360, 107320, 188733]
682989,[691575, 782902, 681493, 162928, 528475, 987069, 549054, 828414, 319190, 867239, 49848, 203612, 51332, 589184, 406087, 890579, 514916, 510667, 108978, 827019, 299726, 986597, 424579, 856532, 131953, 190032, 889484, 746953, 783297, 187027]
127550,[675997, 734092, 937301, 105453, 540940, 539069, 372970, 769919, 15520, 144405, 681198, 427461, 324522, 951594, 3149, 450600, 859473, 752913, 158480, 750443, 280699, 160913, 375966, 607472, 561250, 161929, 813921, 536070, 388521, 480875]
